2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.unflag.spw.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.unflag.scan.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.unflag.timerange.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.unflag.field.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.unflag.antenna.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.unflag.restore.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.inspect.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.inspect.rfinder.field = 0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.inspect.rfinder.rfimode = use_flags
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.inspect.rfinder.polarization = q
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.inspect.rfinder.plot_summary = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.inspect.rfinder.plot_details = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.reset.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.autocorr.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.quack.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.quack.quackmode = beg
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.quack.quackinterval = 4.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.quack.quackincrement = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.shadow.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.shadow.tolerance = 0.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.elevation.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.elevation.upperlimit = 90.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.elevation.lowerlimit = 0.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.clip.zeros.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.basic.clip.zeros.clipzeros = True
